               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 135,            0.033499,            0.028105,            0.012588,             0.76488,             0.77736,             0.77496,              0.4433,            0.038369,            0.031864,           0.0051568,            0.005578,            0.005578,            0.005578
                 136,             0.03423,            0.026502,            0.014083,             0.77228,             0.80608,             0.78715,             0.41904,            0.043706,            0.036051,           0.0062175,            0.005545,            0.005545,            0.005545
                 137,            0.034863,            0.025853,            0.015077,             0.70304,             0.78789,             0.76601,             0.43276,            0.045524,            0.036416,           0.0072529,            0.005512,            0.005512,            0.005512
                 138,            0.032894,            0.026551,            0.013336,             0.78271,             0.72861,             0.79219,             0.44816,            0.038249,            0.032715,            0.006597,            0.005479,            0.005479,            0.005479
                 139,            0.033146,             0.02795,            0.011601,             0.77697,             0.79342,             0.78363,             0.44659,            0.038873,            0.032788,           0.0055238,            0.005446,            0.005446,            0.005446
                 140,            0.033695,            0.027617,             0.01188,             0.76204,             0.86686,             0.78807,             0.46638,            0.038313,            0.032772,            0.004969,            0.005413,            0.005413,            0.005413
                 141,            0.032624,             0.02719,            0.013778,             0.74066,             0.85094,              0.7854,             0.46631,            0.037566,            0.030727,           0.0051257,             0.00538,             0.00538,             0.00538
                 142,            0.033559,            0.026143,            0.013112,             0.69684,             0.84753,             0.82328,             0.48184,            0.038458,            0.030726,           0.0057877,            0.005347,            0.005347,            0.005347
                 143,             0.03361,            0.027436,            0.011706,             0.67024,             0.82902,             0.80477,              0.4405,             0.04269,            0.031875,           0.0064762,            0.005314,            0.005314,            0.005314
                 144,            0.033993,            0.028109,            0.012286,              0.7331,             0.81925,             0.81977,             0.46959,            0.039125,            0.030301,           0.0054526,            0.005281,            0.005281,            0.005281
                 145,            0.032753,            0.028015,            0.012263,             0.77439,             0.80089,             0.88437,             0.49681,            0.036996,            0.029049,           0.0052865,            0.005248,            0.005248,            0.005248
                 146,             0.03254,            0.025435,             0.01368,             0.77802,             0.77377,             0.84936,             0.51307,            0.037531,            0.029631,           0.0051737,            0.005215,            0.005215,            0.005215
                 147,            0.034044,            0.025917,            0.012176,             0.78675,               0.766,             0.83083,             0.50736,            0.036868,            0.030224,           0.0054248,            0.005182,            0.005182,            0.005182
                 148,            0.034061,            0.027033,            0.013164,             0.73074,             0.81641,             0.81371,             0.49122,            0.038807,            0.029408,           0.0054367,            0.005149,            0.005149,            0.005149
                 149,            0.033249,            0.025057,            0.013004,               0.729,             0.82854,             0.87163,             0.52435,            0.037059,            0.030433,           0.0057167,            0.005116,            0.005116,            0.005116
                 150,            0.032864,            0.025162,            0.015229,              0.7132,              0.7667,             0.87384,             0.53934,            0.037294,            0.031912,           0.0054875,            0.005083,            0.005083,            0.005083
                 151,            0.031626,            0.025191,            0.013221,               0.746,             0.75401,             0.85179,             0.50659,            0.037479,             0.03169,           0.0053254,             0.00505,             0.00505,             0.00505
                 152,             0.03309,            0.022757,            0.016817,             0.76641,             0.78565,             0.82947,             0.47953,            0.037358,            0.031467,           0.0059123,            0.005017,            0.005017,            0.005017
                 153,            0.031844,            0.026766,              0.0106,             0.82544,             0.71932,             0.80964,             0.46789,            0.037533,            0.030625,           0.0066495,            0.004984,            0.004984,            0.004984
                 154,             0.03188,            0.025781,            0.013113,             0.68969,              0.8019,              0.8192,             0.52258,            0.036501,            0.030268,           0.0057932,            0.004951,            0.004951,            0.004951
                 155,             0.03093,            0.021499,            0.015453,             0.72821,             0.80037,             0.82865,             0.48186,            0.037582,            0.032509,           0.0054725,            0.004918,            0.004918,            0.004918
                 156,            0.032656,            0.026638,            0.012681,             0.84438,             0.66814,             0.85377,             0.49401,            0.038361,            0.033289,           0.0062068,            0.004885,            0.004885,            0.004885
                 157,            0.032448,            0.026601,            0.011716,              0.8755,             0.66717,             0.84947,             0.52126,            0.038403,            0.032011,           0.0066138,            0.004852,            0.004852,            0.004852
                 158,            0.030938,            0.025938,            0.013036,             0.85324,             0.66935,             0.84622,             0.52555,            0.037577,            0.031206,           0.0067272,            0.004819,            0.004819,            0.004819
                 159,            0.031073,            0.024636,            0.011873,             0.66014,               0.798,              0.8308,             0.47881,            0.037752,            0.031534,           0.0069717,            0.004786,            0.004786,            0.004786
